"FDT_STA_ID","STA_LV3_CODE","STA_LV1_CODE","STA_REC_CODE","Deq_Region","STA_DESC","FDT_SSC_CODE","FDT_SPG_CODE","FDT_DATE_TIME","FDT_DEPTH","FDT_DEPTH_DESC","FDT_PERCENT_FRB","FDT_COMMENT","FDT_TEMP_CELCIUS","FDT_TEMP_CELCIUS_RMK","FDT_FIELD_PH","FDT_FIELD_PH_RMK","DO","DO_RMK","FDT_SPECIFIC_CONDUCTANCE","FDT_SPECIFIC_CONDUCTANCE_RMK","FDT_SALINITY","FDT_SALINITY_RMK","NITROGEN","RMK_00600","AMMONIA","RMK_AMMONIA","NH3_DISS","RMK_00608","NH3_TOTAL","RMK_00610","PHOSPHORUS","RMK_00665","FECAL_COLI","RMK_31616","E.COLI","RMK_ECOLI","ENTEROCOCCI","RMK_31649","CHLOROPHYLL","RMK_32211","SSC","SSC_RMK","NITRATE","RMK_00620","CHLORIDE","RMK_00940","SULFATE_TOTAL","RMK_00945","SULFATE_DISS","RMK_00946","STA_LV2_CODE","Latitude","Longitude","Majorbasincode","Majorbasinname","Basin","Subbasin","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu5","Huc6_Vahu6","STA_CBP_NAME","FDT_DATE_TIME2"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",2,"RB","11/6/2013 12:10",0.3,"S",50,NA,11.92,NA,8.23,NA,13.39,NA,696,NA,0.051998582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"11/6/2013 12:10"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",2,"RB","4/9/2014 11:20",0.3,"S",50,NA,11.49,NA,8.35,NA,13.97,NA,777,NA,0.059105286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"4/9/2014 11:20"
"1AACC000.52","APROB","ESTURY","NVRO","Northern","East side above Crows Nest Point",15172,"C2","7/29/2013 11:00",0.5,"S",50,NA,26.44,NA,8.46,NA,7.87,NA,811,NA,0.39,NA,0.562,NA,0.003,"QQ",0.003,"QQ",NA,NA,0.0581,NA,25,NA,10,NA,30,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.35638333,-77.30001667,2,"Mid Atlantic","Potomac River Basin","LOWER POTOMAC",2070011,"Lower Potomac","Accokeek Creek",20700110204,"Accokeek Creek","PL-Q","PL58","VA13-042B","7/29/2013 11:00"
"1AACC000.52","APROB","ESTURY","NVRO","Northern","East side above Crows Nest Point",15172,"C2","7/29/2013 11:00",1.1,"D",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.35638333,-77.30001667,2,"Mid Atlantic","Potomac River Basin","LOWER POTOMAC",2070011,"Lower Potomac","Accokeek Creek",20700110204,"Accokeek Creek","PL-Q","PL58","VA13-042B","7/29/2013 11:00"
"1AACC006.13","AWTSHD","STREAM","NVRO","Northern","Rt. # 608 (Brooke Rd)",2,"TM","1/3/2011 11:20",0.3,"S",50,NA,3,NA,6.7,NA,13.3,NA,188,NA,0.012544447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.38416667,-77.38416667,2,"Mid Atlantic","Potomac River Basin","LOWER POTOMAC",2070011,"Lower Potomac","Accokeek Creek",20700110204,"Accokeek Creek","PL-Q","PL58",NA,"1/3/2011 11:20"
"1AACO004.84","TMDL","STREAM","NVRO","Northern","Rt. # 611 (Telegraph Rd)",2,"AW","1/5/2011 13:05",0.3,"S",50,"TOWEL METHOD DO SAT 102.9%",2,NA,7.3,NA,14.5,NA,647,NA,0.31,NA,0.98,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.7205,-77.19072222,2,"Mid Atlantic","Potomac River Basin","MIDDLE POTOMAC-ANACOSTIA-OCCOQUAN",2070010,"Middle Potomac Anacostia Occoquan","Accotink Creek",20700100402,"Accotink Creek","PL-K","PL30",NA,"1/5/2011 13:05"
"1AACO004.84","TMDL","STREAM","NVRO","Northern","Rt. # 611 (Telegraph Rd)",2,"AW","3/1/2011 11:25",0.3,"S",50,NA,8.2,NA,7.3,NA,12,NA,1744,NA,0.89,NA,1.33,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.7205,-77.19072222,2,"Mid Atlantic","Potomac River Basin","MIDDLE POTOMAC-ANACOSTIA-OCCOQUAN",2070010,"Middle Potomac Anacostia Occoquan","Accotink Creek",20700100402,"Accotink Creek","PL-K","PL30",NA,"3/1/2011 11:25"
"1AACO004.84","TMDL","STREAM","NVRO","Northern","Rt. # 611 (Telegraph Rd)",2,"AW","5/18/2011 11:08",0.3,"S",50,"TOWEL METHOD: 99.1%",18.4,NA,7.2,NA,9,NA,158,NA,0.008581449,NA,1.47,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.7205,-77.19072222,2,"Mid Atlantic","Potomac River Basin","MIDDLE POTOMAC-ANACOSTIA-OCCOQUAN",2070010,"Middle Potomac Anacostia Occoquan","Accotink Creek",20700100402,"Accotink Creek","PL-K","PL30",NA,"5/18/2011 11:08"
"1AACO004.84","TMDL","STREAM","NVRO","Northern","Rt. # 611 (Telegraph Rd)",2,"AW","7/13/2011 11:49",0.3,"S",50,NA,27.8,NA,7.6,NA,7.8,NA,NA,NA,0.14,NA,0.4,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.7205,-77.19072222,2,"Mid Atlantic","Potomac River Basin","MIDDLE POTOMAC-ANACOSTIA-OCCOQUAN",2070010,"Middle Potomac Anacostia Occoquan","Accotink Creek",20700100402,"Accotink Creek","PL-K","PL30",NA,"7/13/2011 11:49"
"1AACO004.84","TMDL","STREAM","NVRO","Northern","Rt. # 611 (Telegraph Rd)",2,"AW","9/7/2011 12:25",0.3,"S",50,"HIGH FLOW",20.4,NA,6.7,NA,8.4,NA,117,NA,0.005648253,NA,0.81,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.7205,-77.19072222,2,"Mid Atlantic","Potomac River Basin","MIDDLE POTOMAC-ANACOSTIA-OCCOQUAN",2070010,"Middle Potomac Anacostia Occoquan","Accotink Creek",20700100402,"Accotink Creek","PL-K","PL30",NA,"9/7/2011 12:25"
"1AACO004.84","TMDL","STREAM","NVRO","Northern","Rt. # 611 (Telegraph Rd)",2,"AW","11/17/2011 13:05",0.3,"S",50,NA,11.3,NA,7.2,NA,10.2,NA,277,NA,0.13,NA,0.64,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.7205,-77.19072222,2,"Mid Atlantic","Potomac River Basin","MIDDLE POTOMAC-ANACOSTIA-OCCOQUAN",2070010,"Middle Potomac Anacostia Occoquan","Accotink Creek",20700100402,"Accotink Creek","PL-K","PL30",NA,"11/17/2011 13:05"
"1AACO004.84","TMDL","STREAM","NVRO","Northern","Rt. # 611 (Telegraph Rd)",2,"AW","1/4/2012 11:25",0.3,"S",50,NA,1.42,NA,7.11,NA,13.94,NA,242,NA,0.11,NA,0.94,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",38.7205,-77.19072222,2,"Mid Atlantic","Potomac River Basin","MIDDLE POTOMAC-ANACOSTIA-OCCOQUAN",2070010,"Middle Potomac Anacostia Occoquan","Accotink Creek",20700100402,"Accotink Creek","PL-K","PL30",NA,"1/4/2012 11:25"
